"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"890","Rajasthan","Construction of community centers and community halls","WS/MP18169/2025-2026/257624","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","04-Sep-2026","JHOR GSSS LTD JHOR","Payment In-Progress","54900"
"891","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18169/2025-2026/247260","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","04-Sep-2026","JHOR GSSS LTD JHOR","Payment In-Progress","85100"
"892","Chhattisgarh","Construction of community centers and community halls","WS/MP568/2024-2025/161396","BEMETARA(Collector Bemetara_IDA)","Vijay Baghel","DURG","15-Jul-2025","SARPACH SACHIV GP PADMI","Payment In-Progress","200000"
"893","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP575/2025-2026/191189","NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA)","C R Patil","NAVSARI","23-Aug-2026","Gram Panchayat Vaghrech","Payment In-Progress","500000"
"894","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP384/2024-2025/145488","BIKANER(DISTRICT COLLECTOR BIKANER_IDA)","Shri Arjun Ram Meghwal","BIKANER(SC)","02-Sep-2026","SHREE CHHANYATI BRAHMIN MAHASANGH","Payment In-Progress","502861"
"895","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP692/2026-2027/250950","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Smt Supriya Sadanand Sule","BARAMATI","03-Sep-2026","MAYUR GANPAT UBHE","Payment In-Progress","1000000"
"896","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18345/2025-2026/176849","KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA)","AKHILESH YADAV","KANNAUJ","28-Jul-2026","Lallan singh contractor","Payment In-Progress","281371"
"897","Rajasthan","Development of playground","WS/MP18166/2025-2026/249915","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","GEETA","Payment In-Progress","7980"
"898","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18166/2025-2026/249920","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","GEETA","Payment In-Progress","3705"
"899","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18104/2026-2027/288543","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","05-Aug-2026","SARPANCH GRAM PANCHAYAT SHIVPUR","Payment In-Progress","80000"
"900","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187390","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","23-May-2026","Pinky Kumari Sharma","Payment In-Progress","6693"
"901","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18238/2025-2026/190938","DEORIA(DISTRICT MAGISTRATE DEORIA)","RAMASHANKAR RAJBHAR","SALEMPUR","16-Feb-2026","MS AKHAND PRATAP TRADERS","Payment In-Progress","121501"
"902","Karnataka","Construction of rooms and halls in school and colleges","WS/MP18093/2025-2026/180351","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","27-May-2026","TUMKUR NIRMITHI KENDRA","Payment In-Progress","500000"
"903","Karnataka","Construction of rooms and halls in school and colleges","WS/MP18093/2025-2026/180263","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","07-Aug-2026","TUMKUR NIRMITHI KENDRA","Payment In-Progress","3375000"
"904","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP575/2025-2026/163013","NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA)","C R Patil","NAVSARI","23-Aug-2026","GRAM PANCHAYAT SARIKHURAD","Payment In-Progress","500000"
"905","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP526/2025-2026/229765","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","05-Sep-2026","PAPAIAH DAMPETLA","Payment In-Progress","495654"
"906","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP526/2025-2026/229764","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","05-Sep-2026","PAPAIAH DAMPETLA","Payment In-Progress","473632"
"907","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2024-2025/143214","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","VINOD KUMAR BIND","BHADOHI","05-Sep-2026","Asesar Singh Contractor","Payment In-Progress","118957"
"908","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2024-2025/143216","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","VINOD KUMAR BIND","BHADOHI","05-Sep-2026","Asesar Singh Contractor","Payment In-Progress","118957"
"909","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2024-2025/143294","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","VINOD KUMAR BIND","BHADOHI","05-Sep-2026","Asesar Singh Contractor","Payment In-Progress","118957"
"910","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2024-2025/144027","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","VINOD KUMAR BIND","BHADOHI","05-Sep-2026","Asesar Singh Contractor","Payment In-Progress","118957"
"911","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2024-2025/144058","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","VINOD KUMAR BIND","BHADOHI","05-Sep-2026","Asesar Singh Contractor","Payment In-Progress","118957"
"912","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2024-2025/144078","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","VINOD KUMAR BIND","BHADOHI","05-Sep-2026","Asesar Singh Contractor","Payment In-Progress","118957"
"913","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18404/2025-2026/257127","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","CHANDRA SHEKHAR","NAGINA(SC)","04-Sep-2026","JAVED AHMAD","Payment In-Progress","123650"
"914","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18404/2025-2026/257126","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","CHANDRA SHEKHAR","NAGINA(SC)","04-Sep-2026","JAVED AHMAD","Payment In-Progress","1454160"
"915","Rajasthan","Construction of public irrigation facilities","WS/MP728/2025-2026/260961","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","31-Aug-2026","Dhaka Brothers","Payment In-Progress","1180806"
"916","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP716/2025-2026/210353","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","19-Aug-2026","Shiv Shakti iron and Cement store","Payment In-Progress","90763"
"917","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP716/2025-2026/210353","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","19-Aug-2026","Shiv Shakti iron and Cement store","Payment In-Progress","19935"
