"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3606","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243391","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","01-Aug-2026","GAGAN RATURI","Payment Success","13356"
"3607","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243391","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","01-Aug-2026","NIKIT","Payment Success","13356"
"3608","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/267631","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","03-Aug-2026","SS Steel Industries Sirsa","Payment Success","174999"
"3609","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/273456","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","03-Aug-2026","SS Steel Industries Sirsa","Payment Success","174999"
"3610","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/263124","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","03-Aug-2026","SS Steel Industries Sirsa","Payment Success","174999"
"3611","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/263121","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","03-Aug-2026","SS Steel Industries Sirsa","Payment Success","174999"
"3612","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/267003","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","03-Aug-2026","SS Steel Industries Sirsa","Payment Success","175000"
"3613","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/267027","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","03-Aug-2026","SS Steel Industries Sirsa","Payment Success","175000"
"3614","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/267629","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","03-Aug-2026","SS Steel Industries Sirsa","Payment Success","175000"
"3615","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/267026","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","03-Aug-2026","SS Steel Industries Sirsa","Payment Success","175000"
"3616","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/267628","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","03-Aug-2026","SS Steel Industries Sirsa","Payment Success","175000"
"3617","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/263130","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","03-Aug-2026","SS Steel Industries Sirsa","Payment Success","175000"
"3618","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/263125","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","03-Aug-2026","SS Steel Industries Sirsa","Payment Success","175000"
"3619","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/263109","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","03-Aug-2026","SS Steel Industries Sirsa","Payment Success","175000"
"3620","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/267001","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","03-Aug-2026","SS Steel Industries Sirsa","Payment Success","175000"
"3621","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/267369","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","03-Aug-2026","SS Steel Industries Sirsa","Payment Success","175000"
"3622","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/263789","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","03-Aug-2026","SS Steel Industries Sirsa","Payment Success","175000"
"3623","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/263119","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","03-Aug-2026","SS Steel Industries Sirsa","Payment Success","175000"
"3624","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/252995","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","03-Aug-2026","SS Steel Industries Sirsa","Payment Success","175000"
"3625","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/252996","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","03-Aug-2026","SS Steel Industries Sirsa","Payment Success","175000"
"3626","Jammu And Kashmir","Lighting of public spaces","WS/MP18070/2025-2026/244798","ANANTNAG(DEPUTY COMMISSIONER ANANTNAG_IDA)","MIAN ALTAF AHMAD","ANANTNAG","31-Jul-2026","Mir and Co Prop Bilal Ahmad Mir","Payment Success","178709"
"3627","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18103/2026-2027/288868","SHIVPURI(District Collector Shivpuri_IDA)","BHARAT SINGH KUSHWAH","GWALIOR","13-Aug-2026","Gram Panchayat Kathegra","Payment Success","250000"
"3628","Andhra Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18001/2026-2027/275217","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","GM Harish Balayogi","AMALAPURAM(SC)","01-Sep-2026","NALLA SRINIVASA RAO","Payment Success","499142"
"3629","Chhattisgarh","Construction of buildings for community cultural activities","WS/MP428/2026-2027/275108","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","04-Aug-2026","Sarpanch Gram Panchayat CHACHEDI","Payment Success","150000"
"3630","Lakshadweep","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18279/2025-2026/224092","LAKSHADWEEP DISTRICT(COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA)","MUHAMMED HAMDULLAH SAYEED","LAKSHADWEEP(ST)","04-Aug-2026","Digitech Electronic Systems Private Limited","Payment Success","1099975"
"3631","Telangana","Construction of common work sheds/ common covered sitting area","WS/MP761/2026-2027/221186","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","27-Jul-2026","Md Azeemuddin","Payment Success","268220"
"3632","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","SHANKAR LAL BASER","Payment Success","3679"
"3633","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18257/2025-2026/236233","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","ABHIJIT GANGOPADHYAY","TAMLUK","03-Aug-2026","Sainik Enterprise","Payment Success","311675"
"3634","Madhya Pradesh","Construction of community centers and community halls","WS/MP18375/2026-2027/286830","RAISEN(DISTRICT COLLECTOR RAISEN_IDA)","SHIVRAJ SINGH CHOUHAN","VIDISHA","03-Aug-2026","abhibhashak sangh goharganj","Payment Success","250000"
"3635","West Bengal","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP859/2025-2026/207103","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Kalyan Banerjee","SREERAMPUR","07-Aug-2026","PRABIR KUMAR RAKSHIT","Payment Success","450683"
"3636","West Bengal","Construction of community centers and community halls","WS/MP826/2024-2025/135523","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","DARJEELING","26-Jul-2026","KRISHNA BARMEY SARKI19","Payment Success","497351"
"3637","Gujarat","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18056/2025-2026/247756","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","PARSHOTTAMBHAI RUPALA","RAJKOT","05-Aug-2026","Grampanchayat Virva","Payment Success","490396"
"3638","Odisha","Installing tube-wells and borewells","WS/MP18145/2025-2026/220349","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","BAIJAYANT PANDA","KENDRAPARA","01-Aug-2026","BIBHU RANJAN NAYAK","Payment Success","764080"
"3639","Odisha","Construction of water tanks","WS/MP18145/2025-2026/211326","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","BAIJAYANT PANDA","KENDRAPARA","01-Aug-2026","AJAYA KUMAR BEHERA","Payment Success","745067"
"3640","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP431/2025-2026/223818","REWARI(District Commissioner Rewari)","Rao Inderjit Singh","GURGAON","10-Aug-2026","Gram Panchayat Jaitpur Sekhpur","Payment Success","371569"
"3641","Tamil Nadu","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18179/2026-2027/245278","Mayiladuthurai(District Collector Mayiladuthurai_IDA)","SUDHA R","MAYILADUTHURAI","01-Aug-2026","T Soundarapandiyan","Payment Success","698521"
"3642","Kerala","Purchase of vans and buses for educational institutions","WS/MP18095/2026-2027/283022","ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA)","K. C VENUGOPAL","ALAPPUZHA","04-Aug-2026","M S 790 NSS KARAYOGAM NADUBHAGAM","Payment Success","75558"
"3643","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18108/2026-2027/282360","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","DR. LATA WANKHEDE","SAGAR","20-Aug-2026","Gram Panchayat Heerapur","Payment Success","150000"
"3644","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18108/2026-2027/282359","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","DR. LATA WANKHEDE","SAGAR","20-Aug-2026","Gram Panchayat Heerapur","Payment Success","150000"
"3645","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP728/2025-2026/255413","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","19-Aug-2026","MAHENDRA SINGH","Payment Success","9750"
"3646","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP728/2025-2026/255413","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","19-Aug-2026","MUKESH KUMAR","Payment Success","3705"
"3647","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP728/2025-2026/255413","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","19-Aug-2026","RAMNIWAS","Payment Success","3705"
"3648","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2026-2027/196232","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","03-Aug-2026","NAGRAJ K R","Payment Success","299870"
"3649","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP728/2025-2026/255413","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","19-Aug-2026","SUBESINGH","Payment Success","3705"
"3650","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP728/2025-2026/255413","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","19-Aug-2026","KIRAN","Payment Success","3705"
"3651","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP728/2025-2026/255413","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","19-Aug-2026","LAKHVIR SINGH","Payment Success","9750"
"3652","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP728/2025-2026/255413","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","19-Aug-2026","NARENDER","Payment Success","9750"
"3653","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP728/2025-2026/255413","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","19-Aug-2026","RAJBALA","Payment Success","3705"
"3654","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP728/2025-2026/255413","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","19-Aug-2026","DARSHANA DEVI","Payment Success","3705"
"3655","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP728/2025-2026/255413","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","19-Aug-2026","BHATERI","Payment Success","3705"
"3656","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18314/2025-2026/224293","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","03-Aug-2026","Ms Dhillon  Tile Factory","Payment Success","49020"
"3657","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18314/2025-2026/224293","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","03-Aug-2026","Ms Dhillon  Tile Factory","Payment Success","49020"
"3658","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18314/2025-2026/224293","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","03-Aug-2026","Ms Dhillon  Tile Factory","Payment Success","49020"
"3659","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18314/2025-2026/224293","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","03-Aug-2026","Ms Dhillon  Tile Factory","Payment Success","49020"
"3660","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18314/2025-2026/224293","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","03-Aug-2026","Ms Dhillon  Tile Factory","Payment Success","49020"
"3661","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18314/2025-2026/224293","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","03-Aug-2026","Ms Dhillon  Tile Factory","Payment Success","36366"
"3662","Tamil Nadu","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP747/2026-2027/242035","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","31-Jul-2026","RENUKA DEVI R","Payment Success","1099641"
"3663","Himachal Pradesh","Construction of community centers and community halls","WS/MP18328/2025-2026/253061","KULLU(DEPUTY COMMISSIONER KULLU_IDA)","Kangana Ranaut","MANDI","03-Aug-2026","GP Nathan","Payment Success","300000"
"3664","Delhi","Fitting of Sitting RCC Benches in Public Places","WS/MP18397/2025-2026/194308","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","13-Aug-2026","Parth Construction Company","Payment Success","368034"
"3665","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP746/2026-2027/298423","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Kani K Navas","RAMANATHAPURAM","01-Aug-2026","Lakshmi L","Payment Success","898813"
"3666","Odisha","Providing drains and gutters for public drainage","WS/MP18310/2026-2027/272547","BHADRAK(DISTRICT COLLECTOR BHADRAK_IDA)","AVIMANYU SETHI","BHADRAK(SC)","01-Aug-2026","PRAFULLA KUMAR MISHRA","Payment Success","300000"
"3667","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP632/2025-2026/205261","PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA)","Anto Antony","PATHANAMTHITTA","01-Aug-2026","BIJU M","Payment Success","385571"
"3668","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2026-2027/238745","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","03-Sep-2026","Nirmal Kumar Rout","Payment Success","381911"
"3669","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2026-2027/228860","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","29-Jul-2026","Nirmal Kumar Rout","Payment Success","286382"
"3670","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18157/2025-2026/239566","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","03-Aug-2026","RANJIT KAUR","Payment Success","50000"
"3671","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18157/2025-2026/239566","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","20-Aug-2026","RANJIT KAUR","Payment Success","50000"
"3672","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18157/2025-2026/239566","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","20-Aug-2026","GURU NANAK BUILDING AND MATERIAL STORE","Payment Success","58200"
"3673","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18157/2025-2026/239566","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","03-Aug-2026","GURU NANAK BUILDING AND MATERIAL STORE","Payment Success","89400"
"3674","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18120/2026-2027/194822","NANDED(DISTRICT COLLECTOR NANDED_IDA)","AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","10-Aug-2026","Gram Panchayat Sirapalli Tq Himayatnagar","Payment Success","986317"
"3675","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18314/2025-2026/224293","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","03-Aug-2026","GURNOOR STEEL SHUTTERING AND CEMENT STOE","Payment Success","43685"
"3676","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18314/2025-2026/224293","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","03-Aug-2026","GURNOOR STEEL SHUTTERING AND CEMENT STOE","Payment Success","38805"
"3677","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18314/2025-2026/224293","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","04-Aug-2026","Gagandeep Singh","Payment Success","104040"
"3678","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18314/2025-2026/224293","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","04-Aug-2026","Gagandeep Singh","Payment Success","31825"
"3679","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP380/2025-2026/231503","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","03-Aug-2026","kulwinder singh bhwanpura","Payment Success","32000"
"3680","Punjab","Providing drains and gutters for public drainage","WS/MP18158/2025-2026/195789","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","19-Aug-2026","BANWARI LAL SURESH KUMAR","Payment Success","35669"
"3681","Jammu And Kashmir","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP331/2026-2027/256129","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Jugal Kishore Sharma","JAMMU","28-Jul-2026","ASHWANI KUMAR","Payment Success","294000"
"3682","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18062/2025-2026/254786","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","JAI PARKASH","HISAR","01-Aug-2026","Nav Durga Concrete Udyog","Payment Success","479393"
"3683","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18062/2025-2026/254786","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","JAI PARKASH","HISAR","01-Aug-2026","The Sharda co op l and c society ltd","Payment Success","968937"
"3684","Punjab","Providing drains and gutters for public drainage","WS/MP18158/2025-2026/195789","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","19-Aug-2026","JAI SHANKAR TRDING CO","Payment Success","40000"
"3685","Punjab","Providing drains and gutters for public drainage","WS/MP18158/2025-2026/195789","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","19-Aug-2026","JAI SHANKAR TRDING CO","Payment Success","22800"
"3686","Punjab","Providing drains and gutters for public drainage","WS/MP18158/2025-2026/195789","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","19-Aug-2026","JAI SHANKAR TRDING CO","Payment Success","7863"
"3687","West Bengal","Providing CCTV camera system for security of public areas","WS/MP829/2025-2026/242185","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Smt Sajda Ahmed","ULUBERIA","30-Jul-2026","R R CABLE NETWORK","Payment Success","300165"
"3688","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Kishan LAl Meena","Payment Success","3679"
"3689","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Madhu Devi Meena","Payment Success","3679"
"3690","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18104/2026-2027/287626","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","25-Aug-2026","GRAM PANCHAYAT SANDIYA SFC","Payment Success","100000"
"3691","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18104/2026-2027/290505","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","25-Aug-2026","GRAM PANCHAYAT MATKULI SFC","Payment Success","100000"
"3692","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","SHREE BALAJI CONSRTUCTION CO","Payment Success","368458"
"3693","Uttar Pradesh","Construction of community centers and community halls","WS/MP492/2026-2027/282327","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Arun Kumar Sagar","SHAHJAHANPUR(SC)","31-Jul-2026","Rajeev Kumar Trivedi","Payment Success","1800000"
"3694","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/257938","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","08-Aug-2026","Keshav Dutt and Brothers","Payment Success","43900"
"3695","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/257938","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","08-Aug-2026","Keshav Dutt and Brothers","Payment Success","43100"
"3696","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/257938","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","08-Aug-2026","Kumra Sanitation Gallery","Payment Success","31742"
"3697","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/257938","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","08-Aug-2026","Kumra Sanitation Gallery","Payment Success","25742"
"3698","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18169/2026-2027/268488","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","20-Aug-2026","BHAWANI ENTERPRISES","Payment Success","372672"
"3699","Punjab","Construction of night shelters for homeless","WS/MP18155/2025-2026/250125","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","08-Aug-2026","Parkesh Chand","Payment Success","24000"
"3700","Odisha","Construction of community centers and community halls","WS/MP18310/2026-2027/239518","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","AVIMANYU SETHI","BHADRAK(SC)","29-Jul-2026","NARAYAN ROUT AND SMT SWARNALATA ROUT","Payment Success","223000"
"3701","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18086/2026-2027/238640","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","SHREYAS. M. PATEL","HASSAN","01-Aug-2026","Prasannakumar K S","Payment Success","223260"
"3702","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18086/2026-2027/190441","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","SHREYAS. M. PATEL","HASSAN","25-Aug-2026","Prasannakumar K S","Payment Success","375000"
"3703","Tamil Nadu","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP747/2026-2027/260750","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","04-Aug-2026","THANGARAJA S","Payment Success","999593"
"3704","Odisha","Construction of buildings for community cultural activities","WS/MP18148/2025-2026/170270","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","BALABHADRA MAJHI","NABARANGPUR(ST)","05-Aug-2026","ms santosh traders","Payment Success","173131"
"3705","Odisha","Construction of buildings for community cultural activities","WS/MP18148/2025-2026/170270","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","BALABHADRA MAJHI","NABARANGPUR(ST)","05-Aug-2026","PAWAN HARDWARE","Payment Success","152789"
"3706","Odisha","Construction of rooms and halls in school and colleges","WS/MP18139/2026-2027/270782","Baragada(DISTRICT COLLECTOR BARAGARH_IDA)","PRADEEP PUROHIT","BARGARH","27-Jul-2026","ASSISTANT ENGINEER1 BHATLI BLOCK","Payment Success","300000"
"3707","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18127/2026-2027/274226","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","RAJABHAU","NASHIK","21-Aug-2026","SAGAR RAJARAM MATALE","Payment Success","986000"
